Id,Predicted
0,1947584.2
1,2599564.8
2,737880.25
3,994371.7
4,20603134.0
5,1003294.06
6,1045681.75
7,5863073.0
8,2594367.0
9,4889675.0
10,2791859.8
11,6952652.0
12,2270934.0
13,2841022.0
14,2197922.0
15,1575381.9
16,2266004.2
17,2205479.5
18,2776973.0
19,1630087.0
20,1466480.6
21,3075066.0
22,1420470.9
23,1839274.2
24,1537027.4
25,1757621.0
26,1374266.9
27,10344506.0
28,1022967.56
29,2639496.8
30,55444676.0
31,2639319.5
32,3358803.0
33,687745.0
34,1343421.9
35,1845323.0
36,1435180.2
37,2914930.5
38,8476176.0
39,2582317.8
40,1298230.8
41,858644.1
42,61476444.0
43,2532998.2
44,900161.8
45,1416691.2
46,2014533.9
47,1964333.5
48,3456979.2
49,1432142.1
50,2039371.0
51,2679981.8
52,2284947.2
53,1028466.44
54,1335763.4
55,2715604.8
56,1963155.0
57,879879.9
58,2470859.5
59,4826184.5
60,1451923.6
61,1774625.0
62,1003402.9
63,2014798.1
64,1109980.5
65,3700455.5
66,1164547.2
67,1592832.9
68,5497835.5
69,1557301.2
70,6059428.5
71,1094338.1
72,966996.06
73,1378878.0
74,1633049.2
75,2796844.5
76,6706001.5
77,1409650.1
78,1188573.6
79,2597386.0
80,14087734.0
81,8041849.0
82,778213.8
83,5062306.5
84,864545.94
85,10868052.0
86,8157968.5
87,3276041.2
88,4134407.0
89,2455484.8
90,2760205.8
91,1263296.1
92,1126115.8
93,1188765.8
94,1748232.5
95,2880284.8
96,5200403.5
97,1153405.4
98,1211092.0
99,1887973.8
100,1599581.1
101,1503321.4
102,2985037.8
103,3081094.0
104,1196022.5
105,858587.2
106,5187401.5
107,822761.06
108,1270595.2
109,2520143.5
110,1563949.9
111,4461979.5
112,3362113.2
113,1847769.0
114,1870916.8
115,2545146.8
116,2771636.8
117,2881915.0
118,1647869.8
119,2557170.0
120,8406664.0
121,2582317.8
122,1659217.0
123,1929612.6
124,10583928.0
125,3047618.2
126,1762461.0
127,5204800.0
128,1630362.9
129,3471615.0
130,7955954.5
131,728762.3
132,1181631.9
133,1395252.8
134,9718810.0
135,1469392.1
136,2216847.5
137,5125940.0
138,1004787.8
139,917201.94
140,1636086.8
141,3347552.8
142,2842653.8
143,2420508.8
144,1496716.8
145,1844658.0
146,811265.9
147,3161509.8
148,1728767.0
149,3664775.8
150,3867046.2
151,1314784.0
152,3027997.8
153,864205.8
154,1782058.4
155,1891411.9
156,2209318.8
157,1319991.5
158,1892337.9
159,1533689.4
160,775405.56
161,1519774.6
162,1741296.8
163,2771121.2
164,14022154.0
165,2338872.0
166,2167157.2
167,2009192.4
168,1714110.8
169,8726248.0
170,1619879.1
171,3376646.0
172,1051163.6
173,7110242.0
174,1049297.6
175,3358780.5
176,2000840.4
177,1456806.5
178,3656095.0
179,1889144.9
180,1483488.1
181,1628546.8
182,831460.7
183,1762645.5
184,1736037.1
185,1426051.0
186,1586093.2
187,2290515.2
188,1725148.5
189,12753768.0
190,3869825.2
191,1145736.1
192,1818983.6
193,1295718.1
194,1694705.5
195,2539604.2
196,5487809.5
197,4205706.0
198,4396009.5
199,2934131.8
200,3202713.2
201,1012139.0
202,752155.75
203,3972911.8
204,892291.5
205,10999794.0
206,1417535.8
207,9519534.0
208,2548110.0
209,13006722.0
210,5484120.5
211,1658261.5
212,1695137.6
213,1035356.9
214,5288597.5
215,4181336.2
216,7078022.0
217,1873164.2
218,1978581.2
219,1066420.2
220,3286273.2
221,2013777.8
222,1760087.5
223,1896188.5
224,10298464.0
225,1294983.2
226,1445482.5
227,2027949.6
228,1083666.1
229,2597199.0
230,1442260.5
231,1947584.2
232,2680529.2
233,2710661.5
234,14669754.0
235,1953470.5
236,2600413.2
237,3067975.5
238,1583326.0
239,2148680.2
240,1835027.9
241,1237565.4
242,1028039.9
243,1179280.5
244,2293262.5
245,2000840.4
246,1536359.1
247,809174.06
248,926944.7
249,1382008.0
250,2362940.0
251,2294704.8
252,1404565.2
253,1447233.4
254,1580179.9
255,725265.56
256,1909606.2
257,1290499.2
258,760884.06
259,18143824.0
260,10424734.0
261,3841686.5
262,1146017.4
263,4194593.5
264,2854717.5
265,923559.5
266,1963155.0
267,1376540.5
268,767455.7
269,2457296.8
270,2582317.8
271,1691493.2
272,2879146.8
273,1551174.5
274,1339215.2
275,2854717.5
276,1773341.0
277,4680043.0
278,1783788.2
279,2822292.5
280,1956131.0
281,4361598.0
282,2338633.5
283,1308352.0
284,1927762.2
285,1723524.1
286,1189960.5
287,3073776.8
288,1215528.5
289,2051326.4
290,2124182.5
291,2137156.8
292,1349308.5
293,1522576.8
294,913016.4
295,3583154.2
296,1376737.0
297,2633217.0
298,1256478.2
299,1203658.6
300,2807112.5
301,1953470.5
302,795570.2
303,2350047.5
304,2046880.0
305,2373907.0
306,953042.6
307,19181552.0
308,2991879.8
309,4047200.2
310,1667599.5
311,2597199.0
312,6686945.0
313,1483488.1
314,1332636.1
315,4762852.0
316,3740660.5
317,1415549.9
318,2842020.8
319,3093779.5
320,2656631.2
321,4831599.0
322,1538463.6
323,1290476.2
324,1565709.6
325,1054716.9
326,2796844.5
327,1516899.2
328,4456872.5
329,3690771.2
330,1440564.6
331,1382846.1
332,1663764.2
333,1963155.0
334,2040122.5
335,1898927.0
336,1745644.6
337,59292076.0
338,1282422.6
339,1240316.5
340,2205479.5
341,863158.5
342,799388.94
343,1619879.1
344,5447906.5
345,1302010.6
346,2887082.2
347,1480361.4
348,1473842.5
349,1565752.9
350,1132359.0
351,1736037.1
352,1464641.0
353,2071839.8
354,970135.6
355,936726.94
356,1442782.5
357,1712200.9
358,1274893.8
359,1483488.1
360,1708277.4
361,2333487.5
362,1343421.9
363,56344844.0
364,6991876.0
365,1889485.4
366,1950409.6
367,1494233.4
368,1533248.8
369,1963155.0
370,1237133.9
371,1547074.9
372,3839430.8
373,1641576.8
374,1314762.5
375,1054561.4
376,1839274.2
377,1658261.5
378,2094120.6
379,2440444.8
380,1667599.5
381,2234172.8
382,1108852.5
383,1875601.6
384,1388375.1
385,1113709.9
386,1998432.0
387,795570.2
388,2943993.2
389,2000840.4
390,2000840.4
391,1330536.1
392,1185738.6
393,2435230.8
394,1324032.4
395,10291106.0
396,2957684.2
397,6533686.0
398,13205652.0
399,2019454.5
400,1302243.5
401,1832718.0
402,1094338.1
403,2061498.8
404,1209148.6
405,1151384.4
406,2763243.0
407,1342860.2
408,1079412.8
409,3559108.0
410,1130013.2
411,964583.75
412,1341065.9
413,3100366.2
414,929686.6
415,1894379.6
416,8599116.0
417,707694.1
418,3100200.5
419,1462150.9
420,2211867.8
421,1349876.6
422,1379851.4
423,1807774.8
424,1674758.2
425,1279892.1
426,1355470.2
427,1906064.8
428,1094872.4
429,1720392.5
430,1421421.4
431,2597011.8
432,2011569.9
433,1326721.9
434,1180844.8
435,2633217.0
436,1681392.1
437,1144119.8
438,1750659.8
439,1832718.0
440,905709.4
441,1636086.8
442,1660446.6
443,1421421.4
444,2159763.0
445,1847604.9
446,1615924.4
447,3724968.2
448,923660.6
449,1440267.2
450,1819830.8
451,1906064.8
452,3410816.2
453,2724843.5
454,13048390.0
455,4525363.5
456,1211960.2
457,2877527.8
458,2455299.5
459,1544617.1
460,1045402.3
461,1446653.8
462,2553458.0
463,1397615.4
464,1161408.9
465,1658813.6
466,1655364.5
467,1496433.6
468,1691493.2
469,960036.3
470,3234892.8
471,1376540.5
472,1831473.8
473,1553588.8
474,6859288.0
475,1197412.9
476,2102184.5
477,1185738.6
478,796979.56
479,1963155.0
480,1367255.0
481,1791156.6
482,3141507.5
483,1678897.4
484,8183529.5
