,listing_id,comme_min_distance,comme_no_1km,comme_no_3km,gov-m_min_distance,gov-m_no_1km,gov-m_no_3km,shopp_min_distance,shopp_no_1km,shopp_no_3km,secon_min_distance,secon_no_1km,secon_no_3km,prima_min_distance,prima_no_1km,prima_no_3km,train_min_distance,train_no_1km,train_no_3km
0,6998418,3.465477126981429,0,0,2.5239490063045986,0,7,1.992149159941564,0,6,2.73993000776566,0,1,2.5117959447162894,0,3,2.110841430895276,0,7
1,2046604,0.2535318604487135,2,6,0.3220385994906831,5,44,0.2107063661942388,11,70,0.7862474066228288,3,27,0.1455870558166971,7,35,0.230193143088529,5,53
2,7563513,0.308258841066967,1,5,0.4023667527890595,5,45,0.1245866096498325,11,70,0.6681961403615448,1,28,0.1827606921421888,7,34,0.3314963583728916,5,50
3,3071445,1.1466880095867862,0,3,0.6327235413551788,2,29,1.044382196516299,0,25,0.3080541494577244,1,30,0.300642982014751,4,33,0.4266797524803856,5,24
4,9667539,1.3803367460810878,0,1,0.3841052563482071,4,25,0.5103685372560333,7,18,0.388370053251509,3,20,0.2329841778214099,6,22,0.8224321647838376,2,18
5,5203525,2.4714482426440223,0,2,0.5229967188006965,1,3,0.2946495674115664,6,12,0.2231520440437748,5,17,0.444149130351042,6,24,0.2737716037687595,3,7
6,6668762,2.6449101342623123,0,2,1.2279072764781604,0,4,0.0966574522394137,2,23,0.4753562189029973,4,22,0.4095685072973784,3,27,0.2777875636831263,3,25
7,6273506,0.8410344929754325,1,8,0.8159881883244692,1,8,0.3722451889703598,6,17,0.4624847772534073,9,27,0.1358358776000694,14,37,0.0759349592054883,10,37
8,8312062,0.4879331016965149,2,5,0.3961441549155284,5,44,0.1015307938116085,24,72,0.6060247506566621,1,18,0.5142483846575009,2,25,0.2452313106425631,15,43
9,3155074,1.1042088097552298,0,2,0.2724441168097873,7,30,0.2777582495070605,7,64,1.0549742557076551,0,7,0.423386125998497,1,12,0.2102445368846109,7,33
10,9963932,1.2180098473016605,0,7,0.7943380301565872,1,50,0.2887112493125076,20,71,0.7049862388720373,3,22,0.7049862388720373,3,29,0.5435306301251998,3,47
11,8744315,0.4971741089684802,2,5,0.2716911523605225,5,45,0.1035835051231463,24,73,0.5583261569453964,1,19,0.3668984919144505,2,26,0.1171397563472339,14,47
12,4245267,0.5402545591654463,1,4,0.0577952507126038,2,13,0.4178642336452398,6,13,0.297078107071041,7,22,0.358374902590312,9,31,0.4806551957028659,4,13
